student_id,meetings_attended,total_meetings
S001,9.0,10
S002,7.0,10
S003,9.0,10
S004,8.0,10
S005,7.0,10
S006,8.0,10
S007,7.0,10
S008,7.0,10
S009,6.0,10
S010,7.0,10
S011,9.0,10
S012,6.0,10
S013,10.0,10
S014,5.0,10
S015,5.0,10
S016,9.0,10
S017,,10
S018,5.0,10
S019,9.0,10
S020,8.0,10
S021,5.0,10
S022,5.0,10
S023,8.0,10
S024,7.0,10
S025,8.0,10
S026,7.0,10
S027,7.0,10
S028,9.0,10
S029,7.0,10
S030,4.0,10
S031,9.0,10
S032,6.0,10
S033,4.0,10
S034,9.0,10
S035,8.0,10
S036,10.0,10
S037,9.0,10
S038,8.0,10
S039,7.0,10
S040,5.0,10
