student_id,tasks_assigned,tasks_completed,avg_task_hours
S001,6,4,6.2
S002,12,9,6.8
S003,10,7,4.44
S004,12,11,4.82
S005,8,7,6.09
S006,12,8,6.55
S007,8,5,3.19
S008,11,7,4.42
S009,8,6,2.3
S010,14,9,4.67
S011,10,8,5.03
S012,9,5,3.98
S013,8,8,5.66
S014,8,6,3.34
S015,8,5,8.41
S016,14,10,3.04
S017,9,8,7.46
S018,7,5,6.03
S019,14,8,3.59
S020,7,5,3.89
S021,12,7,4.05
S022,13,10,2.19
S023,7,4,4.61
S024,7,6,6.62
S025,14,9,3.22
S026,6,5,4.53
S027,9,7,7.76
S028,9,9,5.7
S029,10,8,6.87
S030,14,9,3.38
S031,14,14,2.0
S032,6,5,5.38
S033,7,5,5.32
S034,12,12,4.27
S035,10,4,5.09
S036,14,9,4.71
S037,14,6,3.91
S038,12,8,2.63
S039,10,9,4.03
S040,13,7,6.71
